2025-09-17 20:39:06.068 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2024-12-30', 'createDate': '2016-01-31', 'anchorUid': 41712484, 'playCount': 306176114, 'albumTitle': '回到明朝当王爷（多人小说剧）', 'anchorName': '方寸无衣配音社', 'fansCount': 782696, 'commentCount': 0, 'trackCount': 751, 'albumId': 3644286}
2025-09-17 20:39:07.530 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 3644286 章节稍后补爬
2025-09-17 20:39:12.593 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-05-22', 'createDate': '2023-10-19', 'anchorUid': 26520310, 'playCount': 164996064, 'albumTitle': '被退婚后 我的诗仙身份曝光了|逍遥小贵婿|穿越架空逆袭', 'anchorName': '_牛大宝_', 'fansCount': 4164974, 'commentCount': 0, 'trackCount': 1226, 'albumId': 78716016}
2025-09-17 20:39:14.107 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 78716016 章节稍后补爬
2025-09-17 20:39:19.273 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-03-05', 'createDate': '2021-12-27', 'anchorUid': 61885848, 'playCount': 260705605, 'albumTitle': '拜见教主大人 | 重生反派 ，热血超燃多人有声剧 | 封七月', 'anchorName': '老宝玉_白玉京', 'fansCount': 2179118, 'commentCount': 0, 'trackCount': 1475, 'albumId': 55884047}
2025-09-17 20:39:20.907 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 55884047 章节稍后补爬
2025-09-17 20:39:26.242 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-02-24', 'createDate': '2022-01-07', 'anchorUid': 20606950, 'playCount': 244634473, 'albumTitle': '明天下｜孑与2重燃历史｜幻樱空领衔丨精品有声剧', 'anchorName': '幻樱空', 'fansCount': 5848046, 'commentCount': 0, 'trackCount': 1364, 'albumId': 56132750}
2025-09-17 20:39:27.736 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 56132750 章节稍后补爬
2025-09-17 20:39:32.857 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-06-14', 'createDate': '2019-08-20', 'anchorUid': 2342717, 'playCount': 475381404, 'albumTitle': '长宁帝军 | 不让江山后传｜知白｜热血江湖&大斌演播', 'anchorName': '大斌', 'fansCount': 9964916, 'commentCount': 0, 'trackCount': 1601, 'albumId': 26879772}
2025-09-17 20:39:34.367 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 26879772 章节稍后补爬
2025-09-17 20:39:39.629 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-09-17', 'createDate': '2022-07-25', 'anchorUid': 36993500, 'playCount': 167606533, 'albumTitle': '神话版三国|历史类霸榜神作|4000万人追读|嗨扬领衔有声剧', 'anchorName': '嗨扬', 'fansCount': 1080647, 'commentCount': 0, 'trackCount': 5569, 'albumId': 69808758}
2025-09-17 20:39:41.181 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 69808758 章节稍后补爬
2025-09-17 20:39:46.257 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-09-17', 'createDate': '2024-05-31', 'anchorUid': 52701795, 'playCount': 63477695, 'albumTitle': '武道凌天|全网3亿人气|问鼎巅峰原班人马|极道剑尊杀伐果断', 'anchorName': '零声剧场', 'fansCount': 192747, 'commentCount': 0, 'trackCount': 4680, 'albumId': 82027734}
2025-09-17 20:39:47.806 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 82027734 章节稍后补爬
2025-09-17 20:39:52.999 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2024-12-30', 'createDate': '2022-12-08', 'anchorUid': 1266964, 'playCount': 466578959, 'albumTitle': '我的姐夫是太子丨年度爆笑穿越历史多人有声剧丨有声的紫襟监制作品', 'anchorName': '有声的紫襟', 'fansCount': 27678504, 'commentCount': 0, 'trackCount': 1607, 'albumId': 73077675}
2025-09-17 20:39:54.494 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 73077675 章节稍后补爬
2025-09-17 20:39:59.622 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2024-12-30', 'createDate': '2018-02-11', 'anchorUid': 35310389, 'playCount': 489372679, 'albumTitle': '带着仓库到大明 | 穿越 | 男频 | 多人有声剧', 'anchorName': '伍壹先生', 'fansCount': 2306275, 'commentCount': 0, 'trackCount': 1251, 'albumId': 13180603}
2025-09-17 20:40:01.132 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 13180603 章节稍后补爬
2025-09-17 20:40:06.178 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-07-29', 'createDate': '2023-07-07', 'anchorUid': 418091158, 'playCount': 170756606, 'albumTitle': '流氓小县令｜架空历史&搞笑穿越｜白鲸出品', 'anchorName': '泡泡_泡泡剧场', 'fansCount': 355530, 'commentCount': 0, 'trackCount': 1858, 'albumId': 76882489}
