2025-12-04 13:29:39.025 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>>>>] 成功找到人名法人：赵丰
2025-12-04 13:29:39.027 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:29:39.027 | INFO     | __main__:main:197 - --- 开始处理 61/3228: 中国互联网投资基金(有限合伙) ---
2025-12-04 13:29:42.203 | INFO     | __main__:query_legal_person_with_path:143 - [>>>] 找到法人（仍是公司）：中国互联网投资基金管理有限公司 (长度: 15)
2025-12-04 13:29:44.743 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>>>>] 成功找到人名法人：吴海
2025-12-04 13:29:44.744 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:29:44.744 | INFO     | __main__:main:197 - --- 开始处理 62/3228: 芜湖信湦投资管理合伙企业(有限合伙) ---
2025-12-04 13:29:47.519 | INFO     | __main__:query_legal_person_with_path:143 - [>>>] 找到法人（仍是公司）：信风投资管理有限公司 (长度: 10)
2025-12-04 13:29:49.279 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>>>>] 成功找到人名法人：展江
2025-12-04 13:29:49.281 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:29:49.281 | INFO     | __main__:main:197 - --- 开始处理 63/3228: 武汉合旭控股有限公司 ---
2025-12-04 13:29:52.316 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>] 成功找到人名法人：朱长明
2025-12-04 13:29:52.317 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:29:52.317 | INFO     | __main__:main:197 - --- 开始处理 64/3228: 启航聚力创新(湖北)股权投资管理合伙企业(有限合伙) ---
2025-12-04 13:29:54.691 | INFO     | __main__:query_legal_person_with_path:143 - [>>>] 找到法人（仍是公司）：湖北育新启航私募基金管理有限公司 (长度: 16)
2025-12-04 13:29:57.116 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>>>>] 成功找到人名法人：杨惊
2025-12-04 13:29:57.118 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
