公司,路径1,路径2,路径3,最终实际控制人
常州市昕卓实业投资合伙企业(有限合伙),常州市昕卓实业投资合伙企业(有限合伙),,,邵莹君
申银万国创新证券投资有限公司,申银万国创新证券投资有限公司,,,徐业伟
海通创新证券投资有限公司,海通创新证券投资有限公司,,,李保国
深圳浦特科技企业(有限合伙),深圳浦特科技企业(有限合伙),深圳致亦企业管理咨询有限公司,,杨虎
深圳市泛海统联科技企业(有限合伙),深圳市泛海统联科技企业(有限合伙),深圳致亦企业管理咨询有限公司,,杨虎
中信证券投资有限公司,中信证券投资有限公司,,,方浩
华泰创新投资有限公司,华泰创新投资有限公司,,,孙颖
中信建投投资有限公司,中信建投投资有限公司,,,李旭东
上海阳卓投资合伙企业(有限合伙),上海阳卓投资合伙企业(有限合伙),,,冷兆武
上海砥石企业管理咨询有限公司,上海砥石企业管理咨询有限公司,,,费俭
上海璞钰企业管理咨询合伙企业(有限合伙),上海璞钰企业管理咨询合伙企业(有限合伙),,,费俭
上海砥君企业管理咨询合伙企业(有限合伙),上海砥君企业管理咨询合伙企业(有限合伙),,,王明俊
深圳奥信通创新投资有限公司,深圳奥信通创新投资有限公司,,,吴世杰
深圳前海汇鑫投资合伙企业(有限合伙),深圳前海汇鑫投资合伙企业(有限合伙),,,吴世杰
深圳前海中泰富兴投资合伙企业(有限合伙),深圳前海中泰富兴投资合伙企业(有限合伙),,,吴承辉
广东信邦自动化设备集团有限公司,广东信邦自动化设备集团有限公司,,,李罡
共青城国邦投资管理合伙企业(有限合伙),共青城国邦投资管理合伙企业(有限合伙),,,余希平
珠海横琴信邦投资合伙企业(有限合伙),珠海横琴信邦投资合伙企业(有限合伙),,,余希平
共青城信邦投资合伙企业(有限合伙),共青城信邦投资合伙企业(有限合伙),,,余希平
湖北天源环保集团有限公司,湖北天源环保集团有限公司,,,黄开明
KLProTech H.K. Limited,KLProTech H.K. Limited,,,KLProTech H.K. Limited
